dl,ibar
0,63.7996
0.015915494,54.8806
0.031830989,50.7499
0.047746483,40.233
0.063661977,4.19824
0.079577472,0.708418
0.095492966,4.75527
0.11140846,24.1446
0.127323954,33.1286
0.143239449,42.7854
0.159154943,52.3971
0.318309886,86.5293
0.413802852,34.841
0.604788784,30.0468
0.70028175,27.0361
0.859436693,14.0291
0.954929659,21.7975
1.114084602,22.1258
1.177746579,32.8836
1.273239545,19.0271
