Position (m),Light intensity (%)
-0.0228689,0.1
-0.0232689,0.1
-0.0236689,0.1
-0.0240689,0.1
-0.0242689,0.1
-0.0245689,0.1
-0.0249689,0.1
-0.0254689,0.1
-0.0259689,0.1
-0.0262689,0.1
-0.0267689,0.1
-0.0271689,0.1
-0.0276689,0.1
-0.0281689,0.1
-0.0284689,0.1
-0.0286689,0.1
-0.0287689,0.1
-0.0289689,0.1
-0.0291689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
-0.0294689,0.1
