Position (m),Light intensity (%)
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
-0.0138,0.024536713
